sector,ref_year,hs6_rows,rows_with_weight,value_coverage_pct,weight_estimated_rows_pct,weight_estimated_kg_pct
engineering_machinery,2014,763,694,96.2,82.7,69.2
engineering_machinery,2015,766,671,95.1,81.8,77.7
engineering_machinery,2016,764,655,92.8,91.6,88.7
engineering_machinery,2017,776,685,92.1,94.5,93.2
engineering_machinery,2018,779,664,92.5,96.8,97.1
engineering_machinery,2019,780,678,91.6,98.5,96.1
engineering_machinery,2020,779,652,88.9,97.1,95.2
engineering_machinery,2021,781,658,93.4,94.5,93.5
engineering_machinery,2022,823,680,92.9,98.8,99.6
engineering_machinery,2023,826,672,91.0,93.5,90.8
gems_jewellery,2014,50,42,40.2,76.2,91.1
gems_jewellery,2015,46,37,45.5,89.2,98.1
gems_jewellery,2016,47,40,42.2,82.5,98.8
gems_jewellery,2017,49,49,100.0,89.8,99.9
gems_jewellery,2018,49,46,100.0,87.0,100.0
gems_jewellery,2019,50,49,100.0,81.6,99.8
gems_jewellery,2020,50,45,76.8,93.3,98.0
gems_jewellery,2021,50,45,100.0,75.6,98.8
gems_jewellery,2022,51,41,88.3,92.7,100.0
gems_jewellery,2023,53,47,67.0,85.1,99.9
petroleum_products,2014,43,42,100.0,23.8,95.3
petroleum_products,2015,40,39,99.9,30.8,96.3
petroleum_products,2016,40,38,99.8,36.8,98.4
petroleum_products,2017,36,35,99.9,45.7,97.5
petroleum_products,2018,39,38,99.5,57.9,98.0
petroleum_products,2019,39,38,98.6,63.2,99.0
petroleum_products,2020,41,39,98.2,48.7,99.7
petroleum_products,2021,42,40,99.0,40.0,98.4
petroleum_products,2022,40,38,99.3,34.2,96.8
petroleum_products,2023,41,38,98.3,28.9,95.3
pharmaceuticals,2014,31,31,100.0,54.8,97.1
pharmaceuticals,2015,31,31,100.0,71.0,99.4
pharmaceuticals,2016,31,31,100.0,83.9,99.6
pharmaceuticals,2017,41,41,100.0,87.8,100.0
pharmaceuticals,2018,41,41,100.0,92.7,100.0
pharmaceuticals,2019,42,42,100.0,92.9,100.0
pharmaceuticals,2020,43,41,100.0,92.7,100.0
pharmaceuticals,2021,42,41,100.0,92.7,100.0
pharmaceuticals,2022,44,42,100.0,92.9,100.0
pharmaceuticals,2023,43,42,100.0,92.9,100.0
textiles,2014,779,752,97.8,64.6,30.6
textiles,2015,777,740,97.9,63.0,22.4
textiles,2016,774,744,95.7,73.0,70.6
textiles,2017,788,729,95.4,72.0,63.8
textiles,2018,795,737,97.4,76.5,58.4
textiles,2019,789,725,96.2,76.4,67.5
textiles,2020,793,746,97.0,76.8,70.1
textiles,2021,794,722,95.4,73.7,48.6
textiles,2022,781,710,95.3,81.0,78.6
textiles,2023,784,700,93.0,75.7,57.1
